class,text
neg,"They keep promoting people to take Xanax, Seroquel, Molly, Promethazine, Oxy ... Cause my patients dumbasses are really doing it"
neg,@Dakota_ONeill He's on Seroquel and Cipralex. Has evened out his moods a lot. He does ok as long as there's no pressure.
neg,"@CorrellDanielle @MusicRootss2 I'm on Effexor and Abilify right now, I'm seeing very little change. I've been on at least 10 antidepressants"
neg,I need a vyvanse or addy for work tomorrow
neg,Would you care for a lozenge - @kristen_manza
neg,@chronicpainteen i would also love 2 get to 50 followers 2nite i'm @ 49..pls help... #crohns #humira #TEAMIBD
neg,"Today was a good day. Thanks to God and Humira. Oh yeah, and my husband. He drove."
neg,"Thanks for working, Pristiq. I'm glad you're a reliable medication and that you work so fucking well. #sarcasm"
neg,@mckayaustin I'm on cymbalta & some other shit & my emotions are just bleblehbleh 24/7. Sigh.
neg,I just slept 9 hours!!! #quetiapine loving this :)
neg,"If you or a loved one has experienced severe side effects from the use of Fosamax, contact us toll free. 1.888.520.5202. Habla Espanol."
neg,thank jesus for trazodone
neg,If it wasn't for vyvanse I wouldn't be raping these exams
neg,Did u know psychotropic drugs such as Seroquel and Haldol are considered chemical restraints?!
neg,Xarelto is a hell of a drug
neg,I know its late but Im going to take my trazodone cuz fuck it all
neg,"We represent people injured by dangerous drugs & vaccines including: SSRI drugs: Paxil, Zoloft, Effexor, Celexa, Lexapro, & Prozac."
neg,Imagination is my trazodone. ― J.D. Tew
neg,@BO2Gamer612 Yay!!! Both me and hubby are quitting in week and 1/2. I got scrip for nicotrol inhaler
neg,@I_amYaLeader: Florida is in need of Cymbalta! All this depression and shit! L O FUCKING L
neg,Working out on vyvanse is so much better than without #crackedout
neg,~~Member Post~~ My doctor is starting me on Effexor. Do any of you have experience with this med? How has it worked for you? Thanks.
neg,The Fluoroquinolone Syndrome <-Have you experienced side effects from taking Quinolones antibiotics (e.g. Cipro) ?
neg,Xarelto ad: you may bruise easier and it may take longer for bleeding to stop. You fuckin kidding me?HOW MUCH LOBGER CUZ I WONT HAVE ALL DAY
neg,"@OmicsOmicsBlog @matthewherper @richmeyer Tysabri is alpha4beta1; vedolizumab is alpha4beta7, this integrin used for access lamina propria"
neg,Fuck trazodone bring me sleep. Lightning paint the picture thunder scores the show.
neg,@jen_hintz I'll wait until my next dose of the meds and take my trazodone and hopefully sleep through it. Rain is coming tho. ugh
neg,"Somebody needs to get Amanda Bynes on Seroquel, Abilify, something"
neg,I hate Trazodone more than I hate myself and that is a lot
neg,@tasteandjustice oh no way to that. paxil has been the only med that has worked for me so far
neg,@CallMe_Mone depression it hurts cymbalta can help ^_^
neg,What's IV incompatible with ciprofloxacin??
neg,Free 80mg vyvanse from my dads employee for this long day lol #thanks
neg,@Lanternlizard I usually take an IR quetiapine at night. Didn't tonight. That's part of the issue.
neg,@HeatherM211 @DavidJuurlink yup. Tho wonder if this is increased risk w/ dabigatran vs loss of protection from Coumadin.
neg,sucking on the moon like a lozenge
neg,@patersonjeff I think he's practicing with a lozenge in his mouth... to ease the fans into this transition.
neg,Indian drugmaker Claris Lifesciences Ltd said late on Thursday that U.S. health regulators approved its antibiotic Levofloxacin injection.
neg,Pop Yo Ass Like A Seroquel But I Aint Gotta Shoot Cause My Niggas Will #RipTommy
neg,@Olga_M_O yay! Its now called Love &Prozac and it opens 24 July at Sandton theatre on the square. Book through strictly tickets
neg,need some seroquel
neg,"@clara1403 Shylo is doing amazing. Moving better each day, grumpy cause he wants out of his cage but cant. Im on humira again nxt wk woo xx"
neg,FDA Investigating Deaths Following Zyprexa Injections: The Food and Drug Administration (FDA) issued an alert ... http://bit.ly/19O0srA 
neg,somma yall need to take Prozac
neg,"aped like an elongated lozenge, #it plowed through the layers of C #follow oruscant's atmosphere without incident."
neg,Fan Post: Does anyone know what I can take for anxiety and panic attacks with 100 mg of Quetiapine please?
neg,Deb needs a throat lozenge
neg,@DJHall42 @jennatownsend13 uhhh actually vyvanse****
neg,@lanceharris31 @ryandnoll The Trazodone must've got him.haha
neg,"Rules of Prozac: 1: You can never sleep, ever again. NEVER EVER 2: No you may NOT switch your brain off. Ever. 3: Exhaustion is your friend."
neg,Our exclusive weight loss teas contain super oolongs with 40x the Gamma-Aminobutyric acid content of regular green tea! Sophie Xx #diet
neg,"Bristol-Myers Squibb Company, Pfizer Inc.'s Eliquis Equal To Warfarin to Halt Blood Clots: Staying up-to-date ... http://bit.ly/1azlFpE "
neg,Cymbalta commercials... Where the side effects are longer than the actual advertisement
neg,The key to ultimate success and unlimited money is to develop a sore throat lozenge that actually works #fastreliefmyass
neg,@ncbi_pubmed I have read over 2500 journal abstracts and titles on Pubmed website on the antipsychotic I take namely olanzapine
neg,"@LizzyBizzyLou It also might be a side effect of any allergy meds you take, too. I find that a pectin throat lozenge to be helpful..."
neg,@nytimeshealth does concern stem from paroxetine's effect on regulation of serotonin in brain? That would be mine #medicine #women's health
neg,WTF IS GOING ON I FEEL LIKE IM ON VYVANSE RIGHT NOW
neg,"@MikeyJ norovirus persistent carriage -> gave mice cipro -> norovirus was lost, assumes bacterium is involved"
neg,"@BobbieCasteel took perocet, naproxen, namenda, topamax, cymbalta. Plus heat on back earlier used tens unit & lidocaine cream"
neg,"@Katelli_Pasta lol the only one I can remember is ""Depression hurts...Cymbalta can help!"""
neg,"@JeSuisUnDan it's the only way to go about your business with any degree of peace ... Regular, planned naps ... And fluoxetine"
neg,"Vyvanse, commonly known as OCD in a pill."
neg,Grandpa thinks Batman could use a throat lozenge. Lol gramps. Lol.
neg,@jstabila @KelieAna either the zoloft or Trazodone
neg,@MissLacyB @PBandJenelley_1 I blame my short attention span. Vyvanse wore off 5 hours ago lol
neg,"@SarahChoueiry It could be related to IBD itself, mainly with Vits Deficiency or can be related to Humira"
neg,Diagnosis but agrees that it can be worked on with CBT. He's upped the lamotrigine to 200mg and wants me on it no less that 2 years as long
neg,@mocoddle We should just add prozac to the water supply. Problem solved!
neg,"@bettieriot I'm not sure my lack of planning would be considered an emergency, it is my (friend's) own fault. It's taking venlafaxine that"
neg,"@bipolarvoice and remember ""it's for the lack of quetiapine, it's not me"". my doctor says that it works"
neg,Half of seroquel equals 12 hrs.
neg,Just got coerced into another dinner with Xarelto tomorrow night... #freefoodiguess #ihopemybossbails
neg,@baybeecarrot Trazodone But you might have troubles waking up in the morning. 1/2 tablet is enough for a night I could give you 10 for 10$?
neg,@SeteMTL2012 I don't take anything but baclofen and the occasional Valium for spasticity now. #MSsucks
neg,"@SassyPharmD Definitely combos. Right now I'm on Lamictal, Abilify (samples on that one, too) and Viibryd."
neg,“@UberFacts: Bananas contain a natural chemical that can make a person happy - The same chemical found in Prozac.” Banana nation
neg,What's people's opinion on their use or knowledge of Cymbalta. Want to know before I start taking it.
neg,"Quitting Killer Cigs is our mission, @michael_perry13 . Great benefits for dippers who quit too. Same addiction (nicotine), same cures."
neg,"Common side effects of fluoxetine (for stress, anxiety and depression) is completed suicide. Not quite what Id class as a 'side' effect."
neg,@katemidd123 @kalez69 im humira/thiogaunine so fingers crossed x
neg,"@wildpursuits @modelbebegirl me I take pretty strong doses of: Fluoxetine, Lithium, and Seroquel"
neg,Grindin off caffeine & nicotine. #Linework
neg,@MelissaDee_ I do 2 per week - method and enbrel and its nothing.
neg,Did you know twitter is as addicting as nicotine ?
neg,So rivaroxaban gets NICE approved for treatment of pulmonary embolism. More patient friendly & cheaper th current therapy. BUT...
neg,Is that a bottle of Prozac in your pocket or are you just sad to see me?
neg,"the cymbalta side effects tho... lmao blisters, fainting, suicide, abdominal pain. good lord. this commercial cracks me up for some reason"
neg,"CX, that's 7 trials of 5 biosims for $NVS ... Novartis starts PhIII trial of biosimilar of Amgen's Enbrel. http://reut.rs/17xzgxj  $AMGN"
neg,Anyone ever taken Lamictal? Curious as to the side effects. Google says everything from insomnia to death...
neg,I quit Alcohol & nicotine right now!!
neg,@MisMandyNKOTBSB are you losing weight on Victoza? I just started today. I really need my appetite reduced.
neg,@SarahCherry88 I have yearly blood tests to check on glucose levels and cholesterol levels as taking olanzapine could affect these
neg,@kumailn @marcmaron I foresee the dynamic changing halfway thru when Kumail heimlichs Marc as he chokes on a nicotine lozenge.
neg,I constantly count my pills and days until my next refill. #paxil #panic #anxiety
neg,"You can't butter a Prozac - haha, best conversation on effect of carbs on mood in winter on 702 at the moment"
neg,Just saw the Enbrel commercial. Which one of those kids is carrying Phil's beans?
neg,New data on #linagliptin presented @2013ada showing no associated link with #cardio events in #T2D http://ow.ly/1Y2qyB 
neg,@lilturnerrr I need at lozenge so bad right now
neg,#FDA Drug Safety Communication: FDA is investigating two deaths following injection of #Zyprexa Relprevv http://1.usa.gov/13Qt4eU 
neg,sucking on the moon like a lozenge
neg,Rivaroxaban diary day 22 then add 1 drug at a time at weekly intervals. Surely easiest way to lower BP is to lose weight.
neg,"@TangerineTw McEvoy J. P., et al. Lurasidone A Randomized, 6-Week, Open-Label Study. J Clin Psychiatry 2013 #switch non mi convince! No!"
neg,The new cipro is CICP...
neg,"@DestinLegarie It's not a cure, but Cepacol is a pretty potent lozenge. Post nasal drip is usually the cause, so mucinex/nasal spray help."
neg,@K_Mowers The abilify and lamictal I'm just quitting.
neg,@maris813 mine too!! Last September I was nearly bedridden..... Today after my 17th infusion I walked 25m in 35 seconds!! Tysabri rules !!
neg,@GameOverGreggy @IGN Bruce buffer needs a throat lozenge
neg,"Oh, you want some Geodon? Why don't you give me a urine sample and then I'll let the voices know. #psychmeetser"
neg,"so thankful for my prozac who i affectionately refer to as glenn, sometimes. ""you'll always be my best friend. you know too much."""
neg,FQs: Both Levofloxacin and Ciprofloxacin require renal dose adjustment. Moxifloxacin does NOT require renal dose adjustment. #HarvardID
neg,"On a low. May 8th marks 3mths of unemployment, hoping when the fluoxetine kicks in my moods will stabilise. #herestohoping"
neg,@oli_rayner @AndyBiotech and tobi doesn't seem to put much of dent in pa. Almost not worth the downside when using cipro
neg,Warning: Trazodone will show a false positive for ecstasy.
neg,When 97% of your drugs ad is a list side effects it's not even fun to make fun of anymore. #cymbalta #DepressionIsNoLaughingMatter.
neg,@guyswife1111111 A lot of psych medications might be the problem. Typically Alzheimer's patients are treated with patches and Namenda.
neg,".@stillgray @rarebasement @mikesacco As a guy on Adderall and Fluoxetine, I can attest that our brain chemistry is not constant."
neg,"For causal inference, the VRA debate raises question of effect under treatment (""Prozac"") vs effect after treatment (""Cipro"")."
neg,Bouta go take my seroquel and pass outttttttty
neg,Compston - data not clear on when to stop risedronate therapy in #osteoporosis ^CN #Rheum2013
neg,"Fluoxetine 10mg tabs £192 for 50! Why so much? And now patient has changed her mind!!!! Ditto, melatonin 3mg. Make your mind up!!"
neg,"And here we are ... Full circle. Disaster averted #bout #dat #Paxil #life Lmaooooo ""I called it first"""
neg,*cough* i dont really *cough* have a bad cough *cough* we all know college friend is you *cough* slut *cough*...does anybody have a lozenge?
neg,Bananas contain a natural chemical that can make a person happy - The same chemical found in Prozac.
neg,Is Cymbalta an antidepressant or medication for rheumatoid arthritis?
neg,huge fan of the narrative in the xarelto commercial where the man points at a poster of new zealand then says 'NEW ZEALAND'.
neg,"And, on seven drums, the Tom Fluoxetine Orchestra."
neg,Why did I take a vyvanse today? Im so stupidddd
neg,See Rheumy today. 3 month check up. My pred is down to 2 1/2. Still on Enbrel & MTX. Wrists hurt more since lowed pred.
neg,And he's getting addicted to nicotine.
neg,"@DyingSuperNova @vyckym72 tell em no amoxicillin. That never works for Jimmy. Cipro and azithro only. Get well soon, little girlie"
neg,“@UberFacts: Bananas contain a natural chemical that can make a person happy - The same chemical found in Prozac.” @JamieWalsh93
neg,Eliquis launch vis-a-vis Xarelto post-AF approval.3rd to mkt also playing a role CC: @chasingthealpha @ColfaxCapitalpic.twitter.com/RO6Nhemyr1
neg,@dpatrickg I mean he does have joint pain. Humira (r)
neg,Ciprofloxacin + metoclopramide + paracetamol = my new best friends
neg,Speaking of stress I forgot my Prozac again today #dammit
neg,@CeeJoz Haha.I haven't enough Prozac to handle that scenario.
neg,Reports in that #Pens goal squad is reporting for emergency shock treatment. #NBC announcers will begin doubling Prozac #Bruins#SHOWRESPECT
neg,I'm not prozac... im not a possession... Or a thing... that delivers happiness.. I'm a person... And you need to learn that..
neg,"SSRI Birth Injury Drugs: Celexa, Effexor, Lexapro, Paxil, Prozac, and Zoloft. Call now to speak with an attorney. 1.888.520.5202."
neg,@tysonstown When I was on Fluoxetine I was dead from the waist down. Even Frankenstein couldn't have helped...
neg,@BuzzFeedAndrew When will the madness end?!? PROZAC FOR EVERYONE!
neg,More reasons to love food “@UberFacts: Bananas contain a natural chemical that can make a person happy - The same chemical found in Prozac.”
neg,Sweet dreams coated in seroquel.....
neg,@charlee_chase Forget the C...you need Cipro...I had this once when I was in college & it lasted 6 months! Kill it fast! :(
neg,"@DavidJuurlink @HeatherM211 before dabigatran came along, anticoag'd pts on Coumadin had some ischemia protection - dabigatran needs ASA."
neg,Cipro and Levaquin have destroyed my life and health... When will the FDA care about Americas?? Seems like never !!!
neg,"SSRI Birth Injury Drugs: Celexa, Effexor, Lexapro, Paxil, Prozac, and Zoloft. Call now to speak with an attorney. 1.888.520.5202."
neg,"@BipolarBlogger I took quetiapine for depression, but took 75% dose instant at night and 25% XL in morning. I tried all combinations!"
neg,im gonna name this voice in my head Mr. Prozac
neg,In my hood niggas try to smoke ya just like nicotine.
neg,Writing a love song to Ciprofloxacin #funinthesun
neg,Seroquel is fun. Just told dad about the dream I had last night where I was Hannah Montana and I sung the hoedown throwdown. Lol.
neg,"Nothing rhymes with 'orange.' Unless, of course, you're rapping: forage, horrid, courage, lozenge, porridge, portage, storage..."
neg,"Doc at podium says CRPC sequence: Provenge, Zytiga, Tax, Denosumab, Xytiga, Jevtana #ASCO13"
neg,"I need some abx. Anyone got some laying around? I prefer levaquin, but will settle for anything except flagyl because I like beer."
neg,"Quote of the week ""I'm tired, I'm hungry, I NEED SOME NICOTINE!!!"" Hahaha made me laugh so much"
neg,"@hollyshansen - 622 men have died from Viagra. 6,000 from Paxil. etc, etc. You don't #Stand4Life You stand on lies. #txlege #sb9 #swtw"
neg,"Popular antidepressants Zoloft, Prozac and Paxil can lower libido and prevent orgasms"
neg,Im about to take this trazodone and be out.
neg,"The Church of Scientology was a client of H&K. In 1989 the Church started a campaign against medicament Prozac, manufactured by Eli Lilly"
neg,"Ciprofloxacin has its telepathy adit of a sort sectors still the likes of herbaceous, unsynthetic supplements, t:"
neg,Prozac is my best friend right now
neg,Tried a cymbalta & didn't hurt all over for half a day. Does this mean the mysterious pain no one can diagnose actually *is* fibromyalgia?
neg,Someone get Lockyer a bloody throat lozenge. #origin
neg,"Coach Smith is not taking a cough drop, he's taking a ""Soothing Throat Lozenge"" ""Lozenge is a word not used enough"""
neg,"“That is all I want in life: for this pain to seem purposeful.” —Prozac Nation, Elizabeth Wurtzel."
neg,"I chose this name while under pressure at CIPRO, registering the business. No deep meaning at all."
neg,@tessharding88 @TylerMF_Harding @raymtodd yeah...try 5 hours a day! It's terrible! But I have an abundance of vyvanse #theonlybreakfastineed
neg,"@16YearsGone ""That didnt rhyme""??? What the fuck are you talking about? Go take another Seroquel"
neg,A whole lotta trazodone
neg,#PaulaDeen may have been paid $6 million for her endorsement of Victoza. Drug Maker Suspends Deal With Deen --http://mobile.nytimes.com/2013/06/28/dining/diabetes-drug-maker-suspends-deal-with-deen.html …
neg,@jessegriess @trevorpastoor McDonalds...I'm Lovin It. #JustGoWithIt #Cymbalta
neg,RT @AstraZenecaUS: Diabetes is projected to affect more than 550 million people by 2030. #2013ADA How many caused by #Seroquel?
neg,So my cough is now so bad I can hardly keep a sore throat lozenge in.
neg,"PAC's occur in 50% of pregnant women. Reassurance, Risk Stratify, metoprolol, DC cardioversion. Avoid atenolol, adenosine, ablation #MedEd"
neg,"“@BBW_BFF: @TheRyanAdams His parents are dead, and he's given Gotham everything.” Patient: Bruce Wayne. 1 Sativa lozenge. Repeat as needed"
neg,Someone get P.J. Carlesimo a throat lozenge @espn
neg,"Dr John buse: most impressive at #2013ada Victoza+degludec= -1.9% A1c reduction ""insulin on steroids"" bit of weight loss too #dTTCOYD"
neg,"@julie_something yeah the drug detail people worked both ends of the market, kids & elderly to get Seroquel to sell well I hate big #Pharma"
neg,RT @zurbyy I often get the urge to ask metal vocalists if they'd like a lozenge.
neg,"@haley_boggess: When depression hits, Cymbalta can't help tell me why this reminds me of our chapstick commercial? Omggg."
neg,@totalirish we share something but maybe a mile away: #tysabri
neg,"@britneyspears Britney, SAY HELLO TO ME? Sweet I´m a Borderline! #Seroquel"
neg,My journey into the dark night of the soul was launched by an adverse reaction to the drug Effexor. Taking this...http://fb.me/JGKBxVgI 
neg,Vyvanse saving my life
neg,Report: a fixed-dose regimen of dabigatran for ischemic stroke may be ineffective in pts with severe obesity.http://nej.md/11MAcpw 
neg,Just got px with drug allergy with ciprofloxacin & levofloxacin hmm (•̪ - •̪)...
neg,"Getting ready for work tomorrow - vodka, Prozac and their &quot;I don't give a shit&quot; attitude-yup, all ready!"
neg,"Lets start with 10 paracetamol, 10 diclofenac sodium, 10 domperidone and 10 ciprofloxacin. Eat at once then see what will happen ?"
neg,Dammit. Lost track of my mess. Anticonvulsants: plenty. Pantoprazole: running out. Fluoxetine: run out. WTF? Calling doc today.
neg,@amaditalks @argylestyle True-but not to the extent Boniva was sold. Tens of thousands given it with no medical evidence.
neg,I wish my seroquel would kick in soon i want to sleep i have to be up at 10 for church
neg,If you were JC + Did your neurology team suggest you stop Tysabri or ask you to continue treatment ?
neg,The following tweets are brought to you by Seroquel™
neg,I called for my Effexor refill on Wednesday. I was out. It's Sunday and I can't stop screaming and crying
neg,@helloimmarta @prozac YEP! Let's try! @mary_ey are you in?
neg,my life can be divided into pre-seroquel and post-seroquel epochs
neg,"I feel like the only time my mom isn't screaming is when she's asleep. Like jeez calm down, eat a throat lozenge, get over yourself"
neg,"substrate, and carbamazepine induces P450 3A4, for which clozapine, olanzapine, and risperidone are substrates. Paliperidone is"
neg,Fuck it xanax and seroquel I won't be up for a long time lol
neg,"World No (it supposed to be Tar & Nicotine, not) Tobacco Day. Let's smoke pot!"
neg,#ToDoList 1-Finish throat lozenge. 2-Record Here's The Thing for @NickBonsantoSho. 3-Invent renewable energy source using Scotch.
neg,"@MargoJMilne Hi Margo, how are you today? Still down here, my doc inc'd my venlafaxine to max yesterday, so hopefully better days ahead. xx"
neg,"FFS, what does a boy have to do to get internet and find a damn throat lozenge?"
neg,Effexor..... ok let's give it a shot.
neg,Falling asleep again #quetiapine
neg,@Dan_Decruz93: Someone give that james a throat lozenge.....he sounds like villas boas
neg,@rachelhatesjazz bipolar 1? That’s tough. I have bipolar 2 and that’s hard enough. No wonder Pristiq didn’t suit you. Hope you’re ok.
neg,now to pop a trazodone & smoke some buds
neg,@SassyPharmD It's Viibryd. I can't afford it so I get samples from my psych and we had to bump my appt.
neg,“@AshaalaShanae: Jesus be a throat lozenge!!! #novoice” Praying for you sis!!
neg,"@BrokeMommy my body rejects Zoloft so hard. We've tried celexa, zyprexa, fuck idk what else"
neg,"Or psychiatric help. Yeah the latter is better. Life can't cure crazy. Olanzapine, quetiapine, risperidone & aripiprazole might help. MIGHT."
neg,"RT “@dickpump3000: @wesisthebestevr cymbalta can help"" if i only had some 'surance !"
neg,@irracpsychee I'm out ! Gotta watch a few weeds episodes...then seroquel Lol !
neg,@PrinceHerb I had paroxetine for a few weeks once... apparently I started behaving oddly so they took me off it and put me on Sertraline
neg,Show up when I'm hungover in bed with vyvanse and GATORADE so I know it's real.
neg,*batman voice* do you have a lozenge
neg,"After that game, Doc emrick may need a #lozenge"
neg,@DrKrys_2015 levofloxacin or avelox but I'm trying to wait
neg,I don't know what's going on. I'm surrounded by preop Pradaxa issues today. That stuff is pure evil I tell you. #NoRegionalAnesForYou
neg,"A local pharmacist reported 80% of prescriptions were for anti-depressants. More laughter, less Prozac! Share an attitude of gratitude!"
neg,"Batman voice ""I need a lozenge."""
neg,The liquid fluoxetine is so disgusting I really hate taking it at night
neg,"depression hurts, cymbalta can help? one of that shits many awful symptoms is ""thoughts of suicide""..."
neg,@HeavensMistake I've just been diagnosed with cyclothymia and been on Quetiapine for 3 weeks along with prozac.
neg,Sandoz started Phase III biosmililar etanercept study
neg,"@DarkRetro @ReeReeRockette @meowy24 Cheese toastie with Tramadol, Naproxen, Paracetamol & Ofloxacin chaser. Oh, and a mug of tea. #Breakfast"
neg,@tootwistedtv +1 for my Effexor. Nice to know where we stand. #WTF #ableism #HB2 #SWTW
neg,@jacquichiafala your welcome... I guess you would have to get used to it. I used to take Effexor for that and xannies b4 that but quit
neg,"lyrically, I'm dope enough to ass fuck the dude who made nicotine."
neg,"@ruthieperrin bizarrely, seems unaffiliated with vegemite (despite the diamond lozenge and ‘its’ name. my interest is piqued."
neg,Dr. Gil Raff starts with 100 mg of metoprolol on ER CCTA patients with heart rate greater than 65 bpm. #MDCT2013
neg,To my MS friends: who's on tysabri? It's not working & they are sending me to another city/hospital to see another specialist.
neg,Peppermint in lozenge form has IMHO helped me to lessen colds.
neg,Hoping to talk to my #psychiatrist about a #medication to help with my #anxiety along with my #Seroquel. Depends on time #mentalhealth #bpd
neg,#tysabri infusion 37 ... 4 days late but it's ok better late than never ...pic.twitter.com/X3w5w5mhsP
neg,The humira commercial scares me. That does not look moderate to severe
neg,"If you or a loved one has experienced severe side effects from the use of Fosamax, call 1.888.520.5202. Habla Espanol. We follow in return."
neg,[Drug Applications] FDA Issues Complete Response Letter for Xarelto (rivaroxaban) to Reduce the Risk of Stent... http://dlvr.it/3Zzywb 
neg,Getting off Cymbalta SUCKS but I'm over this noise #governmentpoison #populationcontrol
neg,MT @hcplive_endo: @UNC_Health_Care study deems #liraglutide & insulin degludec combo safe & effective for #diabeteshttp://ow.ly/mkhxp 
neg,Damn seroquel kick in already. Daddy wants to go to dystopian dream land
neg,"@Nisha_n1 Ive never been a fan.came off it years ago when enbrel was working fab,only went back on last yr coz rituximab wasnt working well"
neg,"It's the second time I've seen this on tv. ""Do not take Prolia if you are allergic to it"". Really?? We need this announced warning on meds?"
neg,Missed my psychiatrist appointment. I'm just cant remember some small matters. Damn. I'm out of Quetiapine. Can I sleep notighy without it?
neg,I'm only an artist when I'm on my Vyvanse
neg,I love when my #Trazodone kicks in after I've forgotten I've taken it. Groggy tweets commence.
neg,Trazodone Pills For 5 .
neg,@Izziedee24 :Bananas contain a natural chemical that can make a person happy The same chemical found in Prozac.you must of been a happy kid!
neg,Just shot myself up with my Humira pen. #CROHNS
neg,@FosterKiiidd want some Trazodone
neg,"@Lebron6983 cool thanks, already tried humira which didnt seem to work! Pleased for you though! Take care"
neg,Oh how I missed my vyvanse prescription #cleanroom
neg,@RuleSevenDoog Enbrel is a hell of a drug
neg,tutto risolto a Cipro. #ontrack RT “@Fmirw: #Cyprus Unemployed Rises 30% in May”
neg,Stfu and take your Paxil RT @Kish_marie: FAGGOT...!!! “@MayorAdamWestt: So tired at work today I contemplated sitting down to pee nigga
neg,"@Eat_my_converse: Depression hurts, But cymbalta can help smh really gabbie?"
neg,"I don't know if it's spring or my paroxetine not being as effective as I've used to, but I can't stop thinking about sex."
neg,"I'm already loving Geodon mounds over Seroquel. I'm also on Lithium, which got a generation of mothers through the 50s and 60s. Like a boss."
neg,Two antidepressants - mirtazapine and fluoxetine - have been linked to a significantly increased risk for Clostridium difficile infection..
neg,For some reason there is a Trazodone in my Biotin bottle and I keep almost taking it in the mornings.
neg,"@catiemonster @mrsjesscharlton Oh, I'll never feel satisfied (remembers to take Cymbalta). But I take your point."
neg,Dougados: Etanercept in nr-axial SpA - Trend of higher effect if high CRP & MRI+ for sacroiliitis #spondylitis #EULAR2013
neg,@T_Veiga @RealPengy Adds Lorazepam to the list. Fluoxetine is green and yellow though
neg,"@911_redhead I can’t have triptans, so, caffeine and Tylenol and a long nap if possible. (Namenda and Neurontin are my daily prophylactics.)"
neg,"$135 a month for liquid Paxil? No, thank you! Checking into an alternative."
neg,"Popular antidepressants Zoloft, Prozac and Paxil can lower libido and prevent orgasms"
neg,so last night i kept waking up with period pain. took what i thought was ibuprofen 3 times. turned out to be seroquel. i just woke up.
neg,"@TheJakeJeckyll prescription Tramadol is a good one for tummy. Thats what Joe had.I got Norco, 800 mg motrin, and baclofin( muscle relaxers)"
neg,Oral #Apixaban non-inferior in effectiveness & lowers bleeding c/w warfarin in acute venous thromboembolism #NEJMhttp://www.nejm.org/doi/full/10.1056/NEJMoa1302507?query=featured_home …
neg,Mimi needs some damn Prozac boyyyyy
neg,"Watching channel 4 documentary about use of #Victoza for weight loss. Buying online, for off label use."
neg,"Mortality benefit for CHF is with ACEI or ARBs, beta blockers (carvedilol and Metoprolol) and spironolactone. #CHF"
neg,@ffemt_817 Between me with nicotine fits and you with the scratching pole thing going on we might just win a twitchy impression contest
neg,“@ashhhleeexxo: @chughhh did you know cigarettes give you cancer ?”did you know nicotine calms you down
neg,"4 types of medicine, 2 types of lozenge, spoonful of honey and now ice. Any other cough remedies?"
neg,@florida_gay @ac_ec now I'm gonna think of cipro
neg,"@neph0079@PositiveAboutMS I take baclofen ""can't sleep! want to sleep!"" help!"
neg,"Just got home from the doctor's office. I am now prescribed to Zoloft, Abilify, Seroquel, and birth control."
neg,"When the Doctor says to start taking your medication again. Hello ~Lexapro, Topamax, & Trazodone"
neg,"Re: Brisdelle (ie, Low dose Paxil - an antidepressant) approved for hot flashes. Women Need More Love, Less Drugs: http://ow.ly/mxGwz "
neg,"HAHAHA ""Thanks for being such a good friend when my life was looking like a Cymbalta commercial."""
neg,.@GovTookMyRights @LUpthegrove Clearly she's taken a few Paxil with a few bottle of Napa merlot.
neg,Trazodone >>>>
neg,@BipolarBlogger that's the balance I'm finding hard - side effects I'm willing to endure v effectiveness. Previously Quetiapine made me so..
neg,@guy_interruptd @UberFacts Yippee ...no more Prozac! Just a pair of knee pads and a pocket of polos. Form an orderly queue. *gulp*...NEXT!
neg,HEMOCLOT: a test system to measure thrombin inhibitors. An assay to determine plasma concentrations of Dabigatran. #Neurology #Hematology
neg,#FF RT @LisaGoodwin1 I'm gonna take Cymbalta just for the side effects.
neg,"@DarksideDamien mine was paxil, I feel ya. It was absolutely horrible. I hope they don't last too long, hang in there buddy!! :)"
neg,@Lanternlizard @NightTraumaDoc @JerkPharmD black boxed warning. I believe this was a drug company bribe to open up the market for Geodon
neg,Dang ordered it at 3:00pm EST Got it at 9:25 am. Must have taken me seriously when I said I couldn't wait cc @HurtBlogger #rheum #enbrel
neg,Glad I'm getting off of cymbalta. I like my new rheumatalogist
neg,"@InfectiousChris @PNauticExpress @mindnovelty maybe something similar to memantine will be developed, strangely memantine hasnt proven to be"
neg,So this is a #crohnie tweet...so I'm starting semzia (I know I'm spelling it wrong) tomorrow does it work? Humira didn't work for me
neg,@kjq515 @ithl123 Only OLAnzapine can fix us... Pray with us... The Empress may yet hear our pitiful supplications!
neg,"I'm a good friend because I will not only help you clean and pack to get ready to move, But I will also give you some of my Vyvanse."
neg,@LoveWithoutMeds no way wow does that work w/ cymbalta
neg,Finally got approved for Cymbalta after having waited over a month. Maybe this will fix me
neg,Pop this trazodone and take my ass to sleep
neg,"@CMichaelGibson, so I guess trazodone, or other psychiatric drugs are not as common either...."
neg,@_fatema_ only celecoxib and metoprolol yet 3'ashetha 3'alat LOL
neg,Jesus be a throat lozenge!!!!!
neg,"Unfollowers hurt, Cymbalta can help"
neg,Night all. TV in bed #quetiapine
neg,think im gonna have to start taking my vyvanse again. my lack of motivation to do anything is scary
neg,#quetiapine is kicking in :)
neg,just did a video of me injecting my #humira to hopefully help guide you who are scared to do it on your own or about to start it :)
neg,"This Xarelto ad must have a huge budget. They are everywhere. Still muted, because the muzaky music is annoying and it goes on too long."
